"n","p1","maxc","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.25,0,0.05,0.032774,0.03376,0.073492,0.092373,0.000986,0.040718,0.059599,0.000314,0.002001,0.005256,0.000314,0.000343,0.001707,"dir",0.000986,0.000314,0.000314
100,0.25,0.25,0,0.1,0.114265,0.1147,0.154432,0.161147,0.000435,0.040167,0.046882,0.000915,0.002574,0.005192,0.000917,0.000962,0.003,"dir",0.000435,0.000915,0.000917
100,0.25,0.25,0,0.15,0.223516,0.22342,0.263152,0.247806,-9.6e-05,0.039637,0.024291,0.001691,0.003297,0.004984,0.001694,0.001729,0.004403,"dir",-9.6e-05,0.001691,0.001694
100,0.25,0.25,0,0.2,0.34464,0.344,0.383732,0.346809,-0.00064,0.039092,0.002169,0.002329,0.003874,0.005736,0.002333,0.002351,0.005743,"dir",-0.00064,0.002329,0.002333
100,0.25,0.25,0,0.25,0.466064,0.46574,0.505472,0.450734,-0.000324,0.039408,-0.01533,0.002676,0.004212,0.006872,0.002681,0.002664,0.00665,"dir",-0.000324,0.002676,0.002681
100,0.25,0.25,0,0.3,0.579825,0.5796,0.619332,0.553816,-0.000225,0.039507,-0.026009,0.002483,0.003994,0.007537,0.002488,0.002438,0.006874,"dir",-0.000225,0.002483,0.002488
100,0.25,0.25,0,0.35,0.68092,0.68306,0.722792,0.648504,0.00214,0.041872,-0.032416,0.002125,0.003796,0.007487,0.002125,0.002047,0.006449,"dir",0.00214,0.002125,0.002125
100,0.25,0.25,0,0.4,0.76672,0.76836,0.808092,0.731424,0.00164,0.041372,-0.035296,0.001776,0.003378,0.006669,0.001776,0.001669,0.005434,"dir",0.00164,0.001776,0.001776
100,0.25,0.25,0,0.45,0.836433,0.83908,0.878812,0.801108,0.002647,0.04238,-0.035325,0.00126,0.002937,0.005507,0.001256,0.001143,0.004268,"dir",0.002647,0.00126,0.001256
100,0.25,0.25,0,0.5,0.890625,0.89152,0.931229,0.858102,0.000895,0.040604,-0.032523,0.000896,0.00243,0.004263,0.000897,0.000783,0.003212,"dir",0.000895,0.000896,0.000897
100,0.25,0.25,0,0.55,0.930802,0.93132,0.970054,0.901616,0.000518,0.039252,-0.029186,0.00069,0.002055,0.003042,0.000691,0.000516,0.002194,"dir",0.000518,0.00069,0.000691
100,0.25,0.25,0,0.6,0.95904,0.96032,0.992976,0.933816,0.00128,0.033936,-0.025224,0.000396,0.001282,0.002049,0.000395,0.000131,0.001416,"dir",0.00128,0.000396,0.000395
100,0.25,0.25,0,0.65,0.977678,0.97774,0.999216,0.95679,6.2e-05,0.021537,-0.020888,0.000215,0.000475,0.001286,0.000216,1.1e-05,0.000851,"dir",6.2e-05,0.000215,0.000216
100,0.25,0.25,0,0.7,0.989065,0.98968,0.999967,0.972127,0.000615,0.010902,-0.016938,0.000103,0.000119,0.000777,0.000103,1e-06,0.000491,"dir",0.000615,0.000103,0.000103
100,0.25,0.25,0,0.75,0.995361,0.99536,1,0.98187,-1e-06,0.004639,-0.013491,4.2e-05,2.2e-05,0.000436,4.2e-05,0,0.000254,"dir",-1e-06,4.2e-05,4.2e-05
100,0.25,0.25,0,0.8,0.9984,0.9986,1,0.987455,2e-04,0.0016,-0.010945,1.4e-05,3e-06,0.000237,1.4e-05,0,0.000118,"dir",2e-04,1.4e-05,1.4e-05
100,0.25,0.25,0,0.85,0.999601,0.99964,1,0.990621,3.9e-05,0.000399,-0.008981,3e-06,0,0.000129,3e-06,0,4.8e-05,"dir",3.9e-05,3e-06,3e-06
100,0.25,0.25,0,0.9,0.999945,0.99998,1,0.992229,3.5e-05,5.5e-05,-0.007716,0,0,7.5e-05,0,0,1.6e-05,"dir",3.5e-05,0,0
100,0.25,0.25,0,0.95,0.999998,1,1,0.993027,2e-06,2e-06,-0.006971,0,0,5.2e-05,0,0,4e-06,"dir",2e-06,0,0
100,0.25,0.25,0,1,1,1,1,0.993276,0,0,-0.006724,0,0,4.6e-05,0,0,1e-06,"dir",0,0,0
100,0.25,0.25,0.5,0,0,0,0.039749,0.077387,0,0.039749,0.077387,0,0.001588,0.007711,0,8e-06,0.001726,"dir",0,0,0
100,0.25,0.25,0.5,0.05,0.032774,0.03332,0.073069,0.133638,0.000546,0.040295,0.100864,0.000344,0.001989,0.013468,0.000344,0.000366,0.003301,"dir",0.000546,0.000344,0.000344
100,0.25,0.25,0.5,0.1,0.114265,0.11404,0.153789,0.204365,-0.000225,0.039524,0.0901,0.001025,0.002625,0.013255,0.001027,0.001065,0.005147,"dir",-0.000225,0.001025,0.001027
100,0.25,0.25,0.5,0.15,0.223516,0.2241,0.263849,0.285996,0.000584,0.040333,0.06248,0.001701,0.003362,0.010793,0.001704,0.001738,0.006903,"dir",0.000584,0.001701,0.001704
100,0.25,0.25,0.5,0.2,0.34464,0.34536,0.385109,0.372909,0.00072,0.040469,0.028269,0.002135,0.00378,0.008806,0.002139,0.002147,0.008022,"dir",0.00072,0.002135,0.002139
100,0.25,0.25,0.5,0.25,0.466064,0.46444,0.504189,0.460403,-0.001624,0.038125,-0.005662,0.002653,0.004072,0.008407,0.002655,0.002624,0.008392,"dir",-0.001624,0.002653,0.002655
100,0.25,0.25,0.5,0.3,0.579825,0.58102,0.620769,0.546604,0.001195,0.040944,-0.033221,0.002473,0.004075,0.009485,0.002477,0.002404,0.008398,"dir",0.001195,0.002473,0.002477
100,0.25,0.25,0.5,0.35,0.68092,0.6827,0.722449,0.627628,0.00178,0.041529,-0.053292,0.00253,0.004132,0.010688,0.002532,0.002412,0.007863,"dir",0.00178,0.00253,0.002532
100,0.25,0.25,0.5,0.4,0.76672,0.76806,0.807809,0.701481,0.00134,0.041089,-0.065239,0.00196,0.003513,0.011231,0.001962,0.001828,0.006988,"dir",0.00134,0.00196,0.001962
100,0.25,0.25,0.5,0.45,0.836433,0.83848,0.878229,0.76671,0.002047,0.041796,-0.069723,0.001579,0.003181,0.010718,0.001578,0.001437,0.005869,"dir",0.002047,0.001579,0.001578
100,0.25,0.25,0.5,0.5,0.890625,0.89164,0.93136,0.822981,0.001015,0.040735,-0.067644,0.001044,0.002568,0.009237,0.001045,0.000911,0.004671,"dir",0.001015,0.001044,0.001045
100,0.25,0.25,0.5,0.55,0.930802,0.93146,0.969993,0.869073,0.000658,0.039191,-0.061729,0.000712,0.002047,0.007314,0.000713,0.000512,0.003511,"dir",0.000658,0.000712,0.000713
100,0.25,0.25,0.5,0.6,0.95904,0.95858,0.991941,0.905759,-0.00046,0.032901,-0.053281,0.000413,0.001228,0.005325,0.000414,0.000146,0.002491,"dir",-0.00046,0.000413,0.000414
100,0.25,0.25,0.5,0.65,0.977678,0.97772,0.999025,0.933605,4.2e-05,0.021347,-0.044073,0.000236,0.000473,0.003592,0.000237,1.7e-05,0.001653,"dir",4.2e-05,0.000236,0.000237
100,0.25,0.25,0.5,0.7,0.989065,0.98888,0.999953,0.954883,-0.000185,0.010888,-0.034182,0.000115,0.000119,0.002161,0.000115,1e-06,0.000995,"dir",-0.000185,0.000115,0.000115
100,0.25,0.25,0.5,0.75,0.995361,0.99542,1,0.970127,5.9e-05,0.004639,-0.025234,4.6e-05,2.2e-05,0.001195,4.6e-05,0,0.00056,"dir",5.9e-05,4.6e-05,4.6e-05
100,0.25,0.25,0.5,0.8,0.9984,0.99828,1,0.980227,-0.00012,0.0016,-0.018173,1.6e-05,3e-06,0.000624,1.6e-05,0,0.000294,"dir",-0.00012,1.6e-05,1.6e-05
100,0.25,0.25,0.5,0.85,0.999601,0.99966,1,0.986622,5.9e-05,0.000399,-0.012979,3e-06,0,0.000303,3e-06,0,0.000135,"dir",5.9e-05,3e-06,3e-06
100,0.25,0.25,0.5,0.9,0.999945,0.99994,1,0.990256,-5e-06,5.5e-05,-0.009689,1e-06,0,0.000147,1e-06,0,5.3e-05,"dir",-5e-06,1e-06,1e-06
100,0.25,0.25,0.5,0.95,0.999998,0.99998,1,0.992041,-1.8e-05,2e-06,-0.007957,0,0,8.2e-05,0,0,1.8e-05,"dir",-1.8e-05,0,0
100,0.25,0.25,0.5,1,1,1,1,0.992835,0,0,-0.007165,0,0,5.7e-05,0,0,6e-06,"dir",0,0,0
100,0.25,0.5,-0.5,0,0,0,0.039871,0.084051,0,0.039871,0.084051,0,0.001597,0.008307,0,8e-06,0.001245,"dir",0,0,0
100,0.25,0.5,-0.5,0.05,0.032774,0.03276,0.072631,0.131851,-1.4e-05,0.039857,0.099078,0.000286,0.001907,0.011748,0.000287,0.000319,0.001936,"dir",-1.4e-05,0.000286,0.000287
100,0.25,0.5,-0.5,0.1,0.114265,0.1141,0.153971,0.192694,-0.000165,0.039706,0.078429,0.000986,0.002606,0.008891,0.000988,0.001032,0.002745,"dir",-0.000165,0.000986,0.000988
100,0.25,0.5,-0.5,0.15,0.223516,0.22592,0.265791,0.265183,0.002404,0.042275,0.041668,0.001702,0.003542,0.005197,0.0017,0.001759,0.003467,"dir",0.002404,0.001702,0.0017
100,0.25,0.5,-0.5,0.2,0.34464,0.3477,0.387571,0.346543,0.00306,0.042931,0.001903,0.002205,0.004068,0.004165,0.002201,0.00223,0.00417,"dir",0.00306,0.002205,0.002201
100,0.25,0.5,-0.5,0.25,0.466064,0.46984,0.509711,0.433693,0.003776,0.043647,-0.032371,0.002777,0.004655,0.005561,0.002768,0.002755,0.004522,"dir",0.003776,0.002777,0.002768
100,0.25,0.5,-0.5,0.3,0.579825,0.58404,0.623911,0.522936,0.004215,0.044086,-0.056889,0.002485,0.004343,0.007746,0.002473,0.002404,0.004518,"dir",0.004215,0.002485,0.002473
100,0.25,0.5,-0.5,0.35,0.68092,0.68182,0.721691,0.610776,9e-04,0.040771,-0.070144,0.002128,0.00369,0.009144,0.002131,0.002031,0.004233,"dir",9e-04,0.002128,0.002131
100,0.25,0.5,-0.5,0.4,0.76672,0.76742,0.807291,0.693667,7e-04,0.040571,-0.073053,0.001583,0.003106,0.009018,0.001586,0.001463,0.003688,"dir",7e-04,0.001583,0.001586
100,0.25,0.5,-0.5,0.45,0.836433,0.837,0.87687,0.768588,0.000567,0.040437,-0.067845,0.001352,0.002852,0.007553,0.001354,0.001219,0.002956,"dir",0.000567,0.001352,0.001354
