"n","p1","ratec","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,16,0,2.4,0.857461,0.849116,0.86516,0.843293,-0.008345,0.007699,-0.014168,0.001069,9e-04,0.004527,0.001002,0.000842,0.004335,"dir",-0.008345,0.001069,0.001002
100,0.25,16,0,2.5,0.875348,0.867595,0.88196,0.861938,-0.007753,0.006612,-0.01341,0.000942,0.000784,0.004084,0.000884,0.000742,0.003912,"dir",-0.007753,0.000942,0.000884
100,0.25,16,0,2.6,0.891213,0.884116,0.89691,0.878679,-0.007097,0.005697,-0.012534,0.000826,0.000683,0.003659,0.000777,0.000652,0.003509,"dir",-0.007097,0.000826,0.000777
100,0.25,16,0,2.7,0.905242,0.898813,0.910158,0.89366,-0.006429,0.004916,-0.011582,0.000721,0.000595,0.00325,0.000681,0.000572,0.003122,"dir",-0.006429,0.000721,0.000681
100,0.25,16,0,2.8,0.917612,0.911833,0.921858,0.907038,-0.005779,0.004246,-0.010574,0.000629,0.000517,0.002859,0.000597,5e-04,0.002753,"dir",-0.005779,0.000629,0.000597
100,0.25,16,0,2.9,0.928489,0.923327,0.932163,0.918956,-0.005162,0.003674,-0.009533,0.000546,0.000449,0.002495,0.000521,0.000436,0.002409,"dir",-0.005162,0.000546,0.000521
100,0.25,16,0,3,0.938031,0.933448,0.941228,0.929543,-0.004583,0.003197,-0.008488,0.000473,0.000388,0.002161,0.000453,0.000379,0.002093,"dir",-0.004583,0.000473,0.000453
100,0.25,16,0,3.1,0.946382,0.942348,0.949194,0.93891,-0.004034,0.002811,-0.007472,0.000408,0.000335,0.001862,0.000392,0.000328,0.00181,"dir",-0.004034,0.000408,0.000392
100,0.25,16,0,3.2,0.953676,0.950166,0.956179,0.947156,-0.00351,0.002503,-0.00652,0.000351,0.000289,0.001598,0.000339,0.000283,0.001559,"dir",-0.00351,0.000351,0.000339
100,0.25,16,0,3.3,0.960032,0.957018,0.962283,0.954382,-0.003014,0.002251,-0.00565,3e-04,0.000249,0.001369,0.000292,0.000244,0.00134,"dir",-0.003014,3e-04,0.000292
100,0.25,16,0,3.4,0.965562,0.963004,0.967598,0.960696,-0.002558,0.002036,-0.004866,0.000257,0.000214,0.001171,0.000251,0.00021,0.001149,"dir",-0.002558,0.000257,0.000251
100,0.25,16,0,3.5,0.970364,0.968215,0.972211,0.966196,-0.002149,0.001847,-0.004168,0.00022,0.000184,0.000999,0.000215,0.000181,0.000984,"dir",-0.002149,0.00022,0.000215
100,0.25,16,0,3.6,0.974526,0.972739,0.976199,0.970973,-0.001788,0.001673,-0.003554,0.000188,0.000159,0.000852,0.000185,0.000157,0.000841,"dir",-0.001788,0.000188,0.000185
100,0.25,16,0,3.7,0.978129,0.976648,0.979629,0.975104,-0.001481,0.0015,-0.003025,0.000162,0.000138,0.000725,0.00016,0.000136,0.000717,"dir",-0.001481,0.000162,0.00016
100,0.25,16,0,3.8,0.981243,0.980008,0.982561,0.978659,-0.001235,0.001318,-0.002584,0.00014,0.000121,0.000618,0.000139,0.000119,0.000612,"dir",-0.001235,0.00014,0.000139
100,0.25,16,0,3.9,0.98393,0.982879,0.98506,0.981698,-0.001051,0.00113,-0.002232,0.000122,0.000106,0.000527,0.000121,0.000105,0.000523,"dir",-0.001051,0.000122,0.000121
100,0.25,16,0,4,0.986246,0.985327,0.987192,0.984284,-0.000919,0.000946,-0.001962,0.000107,9.2e-05,0.000451,0.000106,9.1e-05,0.000448,"dir",-0.000919,0.000107,0.000106
100,0.25,16,0.5,0,0,0.010912,0.01795,0.030304,0.010912,0.01795,0.030304,0.000149,0.000382,0.001351,3e-05,6e-05,0.000433,"dir",0.010912,0.000149,3e-05
100,0.25,16,0.5,0.1,0.001148,0.019261,0.029985,0.043258,0.018113,0.028836,0.04211,0.00039,0.000945,0.002437,6.2e-05,0.000114,0.000665,"dir",0.018113,0.00039,6.2e-05
100,0.25,16,0.5,0.2,0.007926,0.031945,0.047209,0.060203,0.024019,0.039283,0.052276,0.000693,0.001737,0.00371,0.000116,0.000194,0.000979,"dir",0.024019,0.000693,0.000116
100,0.25,16,0.5,0.3,0.023115,0.04995,0.070356,0.081602,0.026835,0.047241,0.058487,0.000914,0.002534,0.0048,0.000195,0.000303,0.001382,"dir",0.026835,0.000914,0.000195
100,0.25,16,0.5,0.4,0.047423,0.07396,0.099729,0.1077,0.026537,0.052306,0.060278,0.001003,0.003173,0.0055,0.000299,0.000437,0.001871,"dir",0.026537,0.001003,0.000299
100,0.25,16,0.5,0.5,0.080301,0.104207,0.135128,0.138475,0.023905,0.054826,0.058174,0.000999,0.0036,0.005809,0.000429,0.000595,0.002429,"dir",0.023905,0.000999,0.000429
100,0.25,16,0.5,0.6,0.120513,0.140419,0.175871,0.173651,0.019906,0.055358,0.053138,0.000977,0.003834,0.005849,0.000582,0.000771,0.003031,"dir",0.019906,0.000977,0.000582
100,0.25,16,0.5,0.7,0.166502,0.181853,0.220905,0.212714,0.015351,0.054403,0.046211,0.00099,0.003914,0.005778,0.000756,0.000956,0.00365,"dir",0.015351,0.00099,0.000756
100,0.25,16,0.5,0.8,0.216642,0.227415,0.268964,0.25492,0.010773,0.052322,0.038278,0.001055,0.003878,0.005735,0.000941,0.001142,0.004278,"dir",0.010773,0.001055,0.000941
100,0.25,16,0.5,0.9,0.269379,0.275823,0.318755,0.299359,0.006444,0.049376,0.02998,0.001171,0.003755,0.005804,0.001132,0.00132,0.004915,"dir",0.006444,0.001171,0.001132
100,0.25,16,0.5,1,0.323324,0.325793,0.369113,0.345091,0.00247,0.045789,0.021767,0.001321,0.003569,0.005991,0.001317,0.001475,0.005529,"dir",0.00247,0.001321,0.001317
100,0.25,16,0.5,1.1,0.377286,0.376185,0.419087,0.391269,-0.001101,0.041801,0.013983,0.001482,0.003341,0.00624,0.001484,0.001596,0.006057,"dir",-0.001101,0.001482,0.001484
100,0.25,16,0.5,1.2,0.430291,0.426078,0.467954,0.437125,-0.004214,0.037663,0.006833,0.001634,0.003097,0.006498,0.00162,0.001682,0.006464,"dir",-0.004214,0.001634,0.00162
100,0.25,16,0.5,1.3,0.48157,0.47477,0.515169,0.481978,-0.0068,0.033599,0.000408,0.001764,0.002858,0.006729,0.001722,0.001733,0.006742,"dir",-0.0068,0.001764,0.001722
100,0.25,16,0.5,1.4,0.530546,0.521736,0.560313,0.525342,-0.008811,0.029767,-0.005204,0.001862,0.002634,0.006902,0.001788,0.001752,0.006889,"dir",-0.008811,0.001862,0.001788
100,0.25,16,0.5,1.5,0.57681,0.566566,0.603053,0.56691,-0.010243,0.026243,-0.0099,0.001921,0.002425,0.00701,0.00182,0.00174,0.006926,"dir",-0.010243,0.001921,0.00182
100,0.25,16,0.5,1.6,0.620096,0.608939,0.643132,0.606406,-0.011157,0.023036,-0.01369,0.001939,0.002231,0.007044,0.001818,0.001703,0.00687,"dir",-0.011157,0.001939,0.001818
100,0.25,16,0.5,1.7,0.66026,0.648611,0.680383,0.643573,-0.011649,0.020123,-0.016688,0.001919,0.002047,0.006988,0.001787,0.001645,0.006723,"dir",-0.011649,0.001919,0.001787
100,0.25,16,0.5,1.8,0.697253,0.685435,0.71474,0.678256,-0.011818,0.017487,-0.018997,0.001868,0.001872,0.006845,0.001732,0.001569,0.006497,"dir",-0.011818,0.001868,0.001732
100,0.25,16,0.5,1.9,0.731103,0.719365,0.746234,0.710398,-0.011738,0.015131,-0.020705,0.001788,0.001702,0.006628,0.001654,0.001476,0.006212,"dir",-0.011738,0.001788,0.001654
100,0.25,16,0.5,2,0.761897,0.750444,0.774966,0.740011,-0.011452,0.01307,-0.021885,0.001684,0.001537,0.006346,0.001556,0.001369,0.005879,"dir",-0.011452,0.001684,0.001556
100,0.25,16,0.5,2.1,0.789762,0.778781,0.801074,0.767179,-0.010981,0.011312,-0.022583,0.00156,0.001375,0.00601,0.001442,0.00125,0.005511,"dir",-0.010981,0.00156,0.001442
100,0.25,16,0.5,2.2,0.814858,0.804514,0.824693,0.792041,-0.010344,0.009835,-0.022817,0.00142,0.001221,0.005633,0.001316,0.001126,0.005123,"dir",-0.010344,0.00142,0.001316
100,0.25,16,0.5,2.3,0.837361,0.827776,0.845952,0.814743,-0.009585,0.008591,-0.022618,0.001274,0.001075,0.005227,0.001185,0.001003,0.004725,"dir",-0.009585,0.001274,0.001185
100,0.25,16,0.5,2.4,0.857461,0.848696,0.86499,0.83542,-0.008765,0.007529,-0.02204,0.001129,0.000941,0.004804,0.001055,0.000886,0.004327,"dir",-0.008765,0.001129,0.001055
100,0.25,16,0.5,2.5,0.875348,0.867416,0.881964,0.854196,-0.007932,0.006616,-0.021152,0.000992,0.000819,0.004374,0.000931,0.000777,0.003934,"dir",-0.007932,0.000992,0.000931
100,0.25,16,0.5,2.6,0.891213,0.884099,0.897047,0.871177,-0.007114,0.005834,-0.020036,0.000865,0.000711,0.003947,0.000816,0.000678,0.003553,"dir",-0.007114,0.000865,0.000816
100,0.25,16,0.5,2.7,0.905242,0.898919,0.910406,0.886468,-0.006323,0.005164,-0.018774,0.00075,0.000616,0.003534,0.000711,0.000591,0.003188,"dir",-0.006323,0.00075,0.000711
100,0.25,16,0.5,2.8,0.917612,0.912042,0.922195,0.900189,-0.005569,0.004583,-0.017423,0.000648,0.000534,0.003143,0.000619,0.000515,0.002845,"dir",-0.005569,0.000648,0.000619
100,0.25,16,0.5,2.9,0.928489,0.923621,0.932553,0.912452,-0.004868,0.004064,-0.016037,0.000561,0.000465,0.002779,0.000538,0.000449,0.002527,"dir",-0.004868,0.000561,0.000538
100,0.25,16,0.5,3,0.938031,0.93379,0.941613,0.923374,-0.004241,0.003581,-0.014657,0.000486,0.000405,0.002444,0.000469,0.000393,0.002234,"dir",-0.004241,0.000486,0.000469
100,0.25,16,0.5,3.1,0.946382,0.942682,0.949506,0.933078,-0.003701,0.003124,-0.013304,0.000422,0.000353,0.00214,0.00041,0.000344,0.001967,"dir",-0.003701,0.000422,0.00041
100,0.25,16,0.5,3.2,0.953676,0.950426,0.956365,0.941679,-0.00325,0.002689,-0.011997,0.000367,0.000308,0.001866,0.000358,0.000302,0.001726,"dir",-0.00325,0.000367,0.000358
100,0.25,16,0.5,3.3,0.960032,0.957156,0.962317,0.949269,-0.002877,0.002285,-0.010764,0.00032,0.000269,0.001621,0.000312,0.000264,0.001509,"dir",-0.002877,0.00032,0.000312
