"n","p1","sdC1","sdC2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.05,0.1,0.5,10.5,0.985239,0.984,1,0.962395,-0.001239,0.014761,-0.022844,0.000106,0.000218,0.000813,0.00013,0,0.000364,"dir",-0.001239,0.000106,0.00013
100,0.25,0.05,0.1,0.5,11,0.988274,0.988,1,0.967499,-0.000274,0.011726,-0.020775,9.6e-05,0.000137,0.000754,0.00012,0,0.000403,"dir",-0.000274,9.6e-05,0.00012
100,0.25,0.05,0.1,0.5,11.5,0.990692,0.988,1,0.967499,-0.002692,0.009308,-0.023193,0.000103,8.7e-05,0.00086,0.00012,0,0.000403,"dir",-0.002692,0.000103,0.00012
100,0.25,0.05,0.1,0.5,12,0.992617,0.992,1,0.976382,-0.000617,0.007383,-0.016235,1.6e-05,5.5e-05,0.000333,2e-05,0,8.7e-05,"dir",-0.000617,1.6e-05,2e-05
100,0.25,0.05,0.25,-0.5,0,0,0,0.123817,0,0,0.123817,0,0,0.015743,0,0,0.000515,0,"dir",0,0,0
100,0.25,0.05,0.25,-0.5,0.5,0.081109,0.066,0.189817,0.048754,-0.015109,0.108708,-0.032354,0.001172,0.01288,0.001725,0.00118,0.001329,0.000847,"dir",-0.015109,0.001172,0.00118
100,0.25,0.05,0.25,-0.5,1,0.198748,0.194,0.317817,0.172259,-0.004748,0.119069,-0.026489,0.000207,0.014893,0.001981,0.00023,0.000895,0.001599,"dir",-0.004748,0.000207,0.00023
100,0.25,0.05,0.25,-0.5,1.5,0.31773,0.316,0.439817,0.310256,-0.00173,0.122087,-0.007474,0.000187,0.015114,0.002661,0.00023,0.000261,0.003257,"dir",-0.00173,0.000187,0.00023
100,0.25,0.05,0.25,-0.5,2,0.427593,0.42,0.543817,0.414898,-0.007593,0.116223,-0.012695,0.001338,0.013839,0.003728,0.0016,0.000414,0.004459,"dir",-0.007593,0.001338,0.0016
100,0.25,0.05,0.25,-0.5,2.5,0.524709,0.504,0.627817,0.51136,-0.020709,0.103108,-0.013349,0.001733,0.010952,0.003879,0.00163,0.000401,0.004626,"dir",-0.020709,0.001733,0.00163
100,0.25,0.05,0.25,-0.5,3,0.608375,0.598,0.721817,0.586116,-0.010375,0.113442,-0.022259,0.003124,0.014164,0.00688,0.00377,0.001618,0.007981,"dir",-0.010375,0.003124,0.00377
