"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
100,0.75,0.1,-0.5,"Direct",0.75,0.389479,0.388158,-0.001321,0.000752,0.000752
100,0.75,0.1,-0.5,"IST",0.25,0.161163,0.181056,0.019893,0.000744,0.000349
100,0.75,0.1,-0.5,"IST",0.5,0.26445,0.276592,0.012142,0.000661,0.000515
100,0.75,0.1,-0.5,"IST",0.75,0.389479,0.396096,0.006617,0.000914,0.000872
100,0.75,0.1,0,"Direct",0.25,0.161163,0.16106,-0.000103,0.000331,0.000331
100,0.75,0.1,0,"Direct",0.5,0.26445,0.26385,-6e-04,0.000467,0.000468
100,0.75,0.1,0,"Direct",0.75,0.389479,0.388702,-0.000777,0.000693,0.000693
100,0.75,0.1,0,"IST",0.25,0.161163,0.171176,0.010013,0.000548,0.000448
100,0.75,0.1,0,"IST",0.5,0.26445,0.277412,0.012962,0.000814,0.000648
100,0.75,0.1,0,"IST",0.75,0.389479,0.40859,0.019111,0.001316,0.000953
100,0.75,0.1,0.5,"Direct",0.25,0.161163,0.160022,-0.001141,0.00033,0.000329
100,0.75,0.1,0.5,"Direct",0.5,0.26445,0.262064,-0.002386,0.000491,0.000486
100,0.75,0.1,0.5,"Direct",0.75,0.389479,0.386546,-0.002933,0.000684,0.000676
100,0.75,0.1,0.5,"IST",0.25,0.161163,0.160224,-0.000939,0.000544,0.000544
100,0.75,0.1,0.5,"IST",0.5,0.26445,0.27533,0.01088,0.000839,0.000722
100,0.75,0.1,0.5,"IST",0.75,0.389479,0.417086,0.027607,0.001798,0.001038
100,0.75,0.25,-0.5,"Direct",0.25,0.161163,0.161954,0.000791,0.000345,0.000345
100,0.75,0.25,-0.5,"Direct",0.5,0.26445,0.265204,0.000754,0.000463,0.000464
100,0.75,0.25,-0.5,"Direct",0.75,0.389479,0.388496,-0.000983,0.000665,0.000665
100,0.75,0.25,-0.5,"IST",0.25,0.161163,0.184204,0.023041,0.001066,0.000537
100,0.75,0.25,-0.5,"IST",0.5,0.26445,0.283648,0.019198,0.000925,0.000558
100,0.75,0.25,-0.5,"IST",0.75,0.389479,0.399234,0.009755,0.000827,0.000733
100,0.75,0.25,0,"Direct",0.25,0.161163,0.161276,0.000113,0.000317,0.000317
100,0.75,0.25,0,"Direct",0.5,0.26445,0.264166,-0.000284,0.000423,0.000424
100,0.75,0.25,0,"Direct",0.75,0.389479,0.388734,-0.000745,0.000721,0.000722
100,0.75,0.25,0,"IST",0.25,0.161163,0.161624,0.000461,0.000663,0.000665
100,0.75,0.25,0,"IST",0.5,0.26445,0.283394,0.018944,0.001084,0.000726
100,0.75,0.25,0,"IST",0.75,0.389479,0.425122,0.035643,0.002276,0.001008
100,0.75,0.25,0.5,"Direct",0.25,0.161163,0.161564,0.000401,0.000301,0.000302
100,0.75,0.25,0.5,"Direct",0.5,0.26445,0.263934,-0.000516,0.000445,0.000446
100,0.75,0.25,0.5,"Direct",0.75,0.389479,0.3868,-0.002679,0.000683,0.000677
100,0.75,0.25,0.5,"IST",0.25,0.161163,0.140138,-0.021025,0.001287,0.000847
100,0.75,0.25,0.5,"IST",0.5,0.26445,0.282654,0.018204,0.001312,0.000982
100,0.75,0.25,0.5,"IST",0.75,0.389479,0.449194,0.059715,0.004849,0.001285
100,0.75,0.5,-0.5,"Direct",0.25,0.161163,0.160692,-0.000471,0.000326,0.000327
100,0.75,0.5,-0.5,"Direct",0.5,0.26445,0.263978,-0.000472,0.000415,0.000415
100,0.75,0.5,-0.5,"Direct",0.75,0.389479,0.387242,-0.002237,0.000641,0.000637
100,0.75,0.5,-0.5,"IST",0.25,0.161163,0.151572,-0.009591,0.001407,0.001318
100,0.75,0.5,-0.5,"IST",0.5,0.26445,0.294738,0.030288,0.002391,0.001476
100,0.75,0.5,-0.5,"IST",0.75,0.389479,0.44545,0.055971,0.004508,0.001378
100,0.75,0.5,0,"Direct",0.25,0.161163,0.159734,-0.001429,0.000313,0.000312
100,0.75,0.5,0,"Direct",0.5,0.26445,0.262346,-0.002104,0.000442,0.000438
100,0.75,0.5,0,"Direct",0.75,0.389479,0.387272,-0.002207,0.000736,0.000733
100,0.75,0.5,0,"IST",0.25,0.161163,0.120038,-0.041125,0.003351,0.001663
100,0.75,0.5,0,"IST",0.5,0.26445,0.29264,0.02819,0.002549,0.001758
100,0.75,0.5,0,"IST",0.75,0.389479,0.477724,0.088245,0.009583,0.001799
100,0.75,0.5,0.5,"Direct",0.25,0.161163,0.161094,-6.9e-05,0.000336,0.000336
100,0.75,0.5,0.5,"Direct",0.5,0.26445,0.26452,7e-05,0.000461,0.000462
100,0.75,0.5,0.5,"Direct",0.75,0.389479,0.388502,-0.000977,0.000592,0.000592
100,0.75,0.5,0.5,"IST",0.25,0.161163,0.089282,-0.071881,0.00695,0.001787
100,0.75,0.5,0.5,"IST",0.5,0.26445,0.292018,0.027568,0.002736,0.00198
100,0.75,0.5,0.5,"IST",0.75,0.389479,0.515804,0.126325,0.018202,0.002249
500,0.25,0.1,-0.5,"Direct",0.25,0.161163,0.161682,0.000519,6.3e-05,6.3e-05
500,0.25,0.1,-0.5,"Direct",0.5,0.26445,0.264982,0.000532,9.1e-05,9.1e-05
500,0.25,0.1,-0.5,"Direct",0.75,0.389479,0.389174,-0.000305,0.00016,0.00016
500,0.25,0.1,-0.5,"IST",0.25,0.161163,0.171178,0.010015,0.000273,0.000173
500,0.25,0.1,-0.5,"IST",0.5,0.26445,0.266412,0.001962,0.000275,0.000272
